title,placeUrl,category,address,LGA
Ayinla,https://www.google.com/maps/place/Ayinla/data=!4m7!3m6!1s0x103b910ebe5441c1:0x2169851ec1dbbcbb!8m2!3d6.6166624!4d3.3126883!16s%2Fg%2F1tgv9g3q!19sChIJwUFUvg6ROxARu7zbwR6FaSE,Bus stop,"Dopemu Rd, Agege 102212, Lagos, Nigeria",Agege
Adealu Bus Stop,https://www.google.com/maps/place/Adealu+Bus+Stop/data=!4m7!3m6!1s0x103b91071fcf2c8b:0x6a673d011958058e!8m2!3d6.6127511!4d3.3050287!16s%2Fg%2F1wcj_x9m!19sChIJiyzPHweROxARjgVYGQE9Z2o,Bus stop,"Abeokuta Express Way, Agege 102212, Lagos, Nigeria",Agege
Ashafa,https://www.google.com/maps/place/Ashafa/data=!4m7!3m6!1s0x103b910e1ea1af9d:0xf0f30cb3bb07c821!8m2!3d6.6205037!4d3.3128062!16s%2Fg%2F1tfhjfjt!19sChIJna-hHg6ROxARIcgHu7MM8_A,Bus stop,"Dopemu Rd, Agege 102212, Lagos, Nigeria",Agege
Agege To Ikeja Bus Stop,https://www.google.com/maps/place/Agege+To+Ikeja+Bus+Stop/data=!4m7!3m6!1s0x103b916bea66cb65:0x5ed22e4be015d431!8m2!3d6.627296!4d3.322701!16s%2Fg%2F11b6shcczt!19sChIJZctm6muROxARMdQV4Esu0l4,Bus stop,"J8GF+W38, Agege Pen Cinema, Agege, Lagos, Nigeria",Agege
Araromi Bus Stop,https://www.google.com/maps/place/Araromi+Bus+Stop/data=!4m7!3m6!1s0x103b9106d3c4d5eb:0xadd21643c1893b40!8m2!3d6.6148612!4d3.3043849!16s%2Fg%2F1vwgy2j3!19sChIJ69XE0waROxARQDuJwUMW0q0,Bus stop,"Abeokuta Expy, Agege 102212, Lagos, Nigeria",Agege
Dopemu Bus Park,https://www.google.com/maps/place/Dopemu+Bus+Park/data=!4m7!3m6!1s0x103b910829f3d1c9:0xce40bcddc9c5972a!8m2!3d6.6113656!4d3.3110743!16s%2Fg%2F1v3z_tl6!19sChIJydHzKQiROxARKpfFyd28QM4,Bus stop,"Dopemu Rd, Agege 102212, Lagos, Nigeria",Agege
Mangoro Bus Stop,https://www.google.com/maps/place/Mangoro+Bus+Stop/data=!4m7!3m6!1s0x103b919d187b2b49:0x86f054bb16e4e027!8m2!3d6.6077101!4d3.327806!16s%2Fg%2F1td99xfs!19sChIJSSt7GJ2ROxARJ-DkFrtU8IY,Bus stop,"A5, Idi Mangoro 101233, Lagos, Nigeria",Agege
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b911a2e521f6f:0x5b09f1fa0e9c2b!8m2!3d6.6256012!4d3.3066139!16s%2Fg%2F1tf4h0yp!19sChIJbx9SLhqROxARK5wO-vEJWwA,Bus stop,"Old Ipaja Rd, Agege 102212, Lagos, Nigeria",Agege
Iyana Dopemu Bus Stop,https://www.google.com/maps/place/Iyana+Dopemu+Bus+Stop/data=!4m7!3m6!1s0x103b91a81bc9792d:0xb817a29f1d5ac587!8m2!3d6.60965!4d3.307802!16s%2Fg%2F11fp8l4m76!19sChIJLXnJG6iROxARh8VaHZ-iF7g,Bus stop,"Dopemu 102212, Lagos, Nigeria",Agege
Odo Eran Bus Stop,https://www.google.com/maps/place/Odo+Eran+Bus+Stop/data=!4m7!3m6!1s0x103b91617c454c6b:0xacb33e005e661fd5!8m2!3d6.6262433!4d3.335917!16s%2Fg%2F1vsmv18f!19sChIJa0xFfGGROxAR1R9mXgA-s6w,Bus stop,"Ijaiye Rd, Ijaiye 102212, Lagos, Nigeria",Agege
G.U.O Transport - Agege Terminal,https://www.google.com/maps/place/G.U.O+Transport+-+Agege+Terminal/data=!4m7!3m6!1s0x103b916b63a67733:0x7b9f1930ebc4d9c0!8m2!3d6.6262619!4d3.3204594!16s%2Fg%2F1pp2vjwxx!19sChIJM3emY2uROxARwNnE6zAZn3s,Bus stop,"J8GC+G54, Agunbiade St, Orile Agege 102212, Lagos, Nigeria",Agege
Oke koto(Agege),https://www.google.com/maps/place/Oke+koto%28Agege%29/data=!4m7!3m6!1s0x103b916ce04a0e91:0x56a9ce7d369b8a96!8m2!3d6.623466!4d3.320147!16s%2Fg%2F11b6b38yml!19sChIJkQ5K4GyROxARloqbNn3OqVY,Bus stop,"Papa Ashafa 102212, Lagos, Nigeria",Agege
Funmilayo Bus Stop,https://www.google.com/maps/place/Funmilayo+Bus+Stop/data=!4m7!3m6!1s0x103b9110b4f1187b:0x38df352ce614124b!8m2!3d6.6259768!4d3.3097279!16s%2Fg%2F11_tr5hhs!19sChIJexjxtBCROxARSxIU5iw13zg,Bus stop,"near AYIGE ROAD, Old Ipaja Rd, Agege, Lagos, Nigeria",Agege
Agege-Pencinema,https://www.google.com/maps/place/Agege-Pencinema/data=!4m7!3m6!1s0x103b91697300d459:0xc73c02f58b747c87!8m2!3d6.628204!4d3.324893!16s%2Fg%2F11h84r2x0y!19sChIJWdQAc2mROxARh3x0i_UCPMc,Bus stop,"Ijaiye 102212, Lagos, Nigeria",Agege
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b917ac62fda1b:0xa1315afc4ddd460b!8m2!3d6.6199394!4d3.3302669!16s%2Fg%2F11c1qqpwd1!19sChIJG9ovxnqROxARC0bdTfxaMaE,Bus stop,"Ijaiye 102212, Lagos, Nigeria",Agege
Pako,https://www.google.com/maps/place/Pako/data=!4m7!3m6!1s0x103b91a8173a964f:0x1ec699c11a7da752!8m2!3d6.60951!4d3.30778!16s%2Fg%2F1hhj0v7jq!19sChIJT5Y6F6iROxARUqd9GsGZxh4,Bus stop,"Abeokuta Expy, Agege 102212, Lagos, Nigeria",Agege
Marketing Bus Stop,https://www.google.com/maps/place/Marketing+Bus+Stop/data=!4m7!3m6!1s0x103b9163bfbfc3b5:0x2aba5778f146e5fc!8m2!3d6.6245854!4d3.3351184!16s%2Fg%2F1td22l2q!19sChIJtcO_v2OROxAR_OVG8XhXuio,Bus stop,"Akilo St, Ogba 101233, Lagos, Nigeria",Agege
Second Gate Bus Stop,https://www.google.com/maps/place/Second+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b917f7b911b29:0x1881015ae237e6cf!8m2!3d6.6103292!4d3.3359519!16s%2Fg%2F1hhwg5z4l!19sChIJKRuRe3-ROxARz-Y34loBgRg,Bus stop,"Oba Akran Ave, Oba Akran 101233, Ikeja, Lagos, Nigeria",Agege
Ile Zik Bus Stop,https://www.google.com/maps/place/Ile+Zik+Bus+Stop/data=!4m7!3m6!1s0x103b91844e81d033:0xea9d27153cf367d5!8m2!3d6.602335!4d3.33217!16s%2Fg%2F1hhw5zy3q!19sChIJM9CBToSROxAR1WfzPBUnneo,Bus stop,"Abeokuta Express Way, Idi Mangoro 101233, Ikeja, Lagos, Nigeria",Agege
Agege Pen Cinema,https://www.google.com/maps/place/Agege+Pen+Cinema/data=!4m7!3m6!1s0x103b916970c96f77:0xadd49df1b410674!8m2!3d6.6283295!4d3.3245035!16s%2Fg%2F11pw4_7t8k!19sChIJd2_JcGmROxARdAZBG99J3Qo,Bus stop,"Ifako Agege 101232, Ojokoro, Lagos, Nigeria",Agege
Agege Pen Cinema,https://www.google.com/maps/place/Agege+Pen+Cinema/data=!4m7!3m6!1s0x103b916beb0a74f5:0x626f91181ddbaeb5!8m2!3d6.62713!4d3.32268!16s%2Fg%2F12lkjvdvz!19sChIJ9XQK62uROxARta7bHRiRb2I,Bus stop,"Ijaiye 102212, Lagos, Nigeria",Agege
Emmanuel Bus Stop,https://www.google.com/maps/place/Emmanuel+Bus+Stop/data=!4m7!3m6!1s0x103b91389b0c98b5:0xddd40ca33f662989!8m2!3d6.6385868!4d3.3183485!16s%2Fg%2F11g_qfjq5!19sChIJtZgMmziROxARiSlmP6MM1N0,Bus stop,"Agege Motor Rd, Agege 102212, Lagos, Nigeria",Agege
Mulero Bus Stop,https://www.google.com/maps/place/Mulero+Bus+Stop/data=!4m7!3m6!1s0x103b911a19bc9d91:0xae2c6a498c645d74!8m2!3d6.6255825!4d3.3076358!16s%2Fg%2F11_ts7p7w!19sChIJkZ28GRqROxARdF1kjElqLK4,Bus stop,"Old Ipaja Rd, Agege 102212, Lagos, Nigeria",Agege
Shofunde,https://www.google.com/maps/place/Shofunde/data=!4m7!3m6!1s0x103b911312ce06ef:0x83c84b3cbfda79c4!8m2!3d6.6247139!4d3.3169752!16s%2Fg%2F1hhj7jss6!19sChIJ7wbOEhOROxARxHnavzxLyIM,Bus stop,"Old Ipaja Rd, Agege 102212, Lagos, Nigeria",Agege
Agunbiade,https://www.google.com/maps/place/Agunbiade/data=!4m7!3m6!1s0x103b916b9949ca0b:0x4200b36419a301f9!8m2!3d6.6271169!4d3.3216079!16s%2Fg%2F11n38sd__b!19sChIJC8pJmWuROxAR-QGjGWSzAEI,Bus stop,"Agege 102212, Lagos, Nigeria",Agege
