title,placeUrl,category,address,LGA
LASU Bus-Stop,https://www.google.com/maps/place/LASU+Bus-Stop/data=!4m7!3m6!1s0x103b8e8d62dd22b3:0x31f0bddc6437682a!8m2!3d6.5143091!4d3.3205318!16s%2Fg%2F1tgs848j!19sChIJsyLdYo2OOxARKmg3ZNy98DE,Bus stop,"Ajibola Aluko St, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Gideon Bus-Stop,https://www.google.com/maps/place/Gideon+Bus-Stop/data=!4m7!3m6!1s0x103b8ef55f00a50b:0x9e1aba2abee423b9!8m2!3d6.5246381!4d3.3176136!16s%2Fg%2F1tkzj79q!19sChIJC6UAX_WOOxARuSPkviq6Gp4,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Oshodi,https://www.google.com/maps/place/Oshodi/data=!4m7!3m6!1s0x103b8def8f78af3b:0x25766f8b5090534f!8m2!3d6.554566!4d3.349438!16s%2Fg%2F11b6b6vx5z!19sChIJO694j--NOxART1OQUItvdiU,Bus stop,"Papa Ajao 102215, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Avenue Bus Stop,https://www.google.com/maps/place/Avenue+Bus+Stop/data=!4m7!3m6!1s0x103b8ee4737da82d:0xa5b5847eac6b49cc!8m2!3d6.510365!4d3.3039665!16s%2Fg%2F11h0f0z_8!19sChIJLah9c-SOOxARzElrrH6EtaU,Bus stop,"Lambe Iluyomade Ave, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Oshodi Isale,https://www.google.com/maps/place/Oshodi+Isale/data=!4m7!3m6!1s0x103b8dee341e1831:0xd150319ef0a207d8!8m2!3d6.5554593!4d3.3517989!16s%2Fg%2F11ppcvmhl5!19sChIJMRgeNO6NOxAR2Aei8J4xUNE,Bus stop,"Papa Ajao 102215, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Kila Bus-Stop,https://www.google.com/maps/place/Kila+Bus-Stop/data=!4m7!3m6!1s0x103b8e4b196babab:0x512b96440b989630!8m2!3d6.5431104!4d3.3001256!16s%2Fg%2F1tcx90ln!19sChIJq6trGUuOOxARMJaYC0SWK1E,Bus stop,"Fadu Ave, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ballet Bus Stop,https://www.google.com/maps/place/Ballet+Bus+Stop/data=!4m7!3m6!1s0x103b8e9068c086e9:0x12468fc16ce6fdab!8m2!3d6.5143167!4d3.3318296!16s%2Fg%2F1t_6jns7!19sChIJ6YbAaJCOOxARq_3mbMGPRhI,Bus stop,"Ilasamaja 102214, Lagos, Nigeria",Oshodi-Isolo
Chemist Bus-Stop,https://www.google.com/maps/place/Chemist+Bus-Stop/data=!4m7!3m6!1s0x103b8ef4bd29e171:0x2c7841b89af4f583!8m2!3d6.5201505!4d3.3176136!16s%2Fg%2F1tcwyr88!19sChIJceEpvfSOOxARg_X0mrhBeCw,Bus stop,"Okota Rd, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
College Bus Stop,https://www.google.com/maps/place/College+Bus+Stop/data=!4m7!3m6!1s0x103b8e63681d55f1:0xecde7cb431433436!8m2!3d6.5293189!4d3.3275738!16s%2Fg%2F1hhgllg03!19sChIJ8VUdaGOOOxARNjRDMbR83uw,Bus stop,"Mushin Rd, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Furniture Bus Stop,https://www.google.com/maps/place/Furniture+Bus+Stop/data=!4m7!3m6!1s0x103b8e073c3f76df:0x13c490b6501df266!8m2!3d6.5608572!4d3.337242!16s%2Fg%2F1hc40_mj4!19sChIJ33Y_PAeOOxARZvIdULaQxBM,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
