title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Bakare Bus Stop,https://www.google.com/maps/place/Bakare+Bus+Stop/data=!4m7!3m6!1s0x103b8dbd3b51413d:0xedf585cf308eec8e!8m2!3d6.5437872!4d3.3682027!16s%2Fg%2F11h0hlck6!19sChIJPUFRO72NOxARjuyOMM-F9e0,Bus stop,"Shipeolu St, Somolu 102216, Lagos, Nigeria",Somolu,8847,69944,12565,23779,20728
NCIE Bus Stop,https://www.google.com/maps/place/NCIE+Bus+Stop/data=!4m7!3m6!1s0x103b8d74e27672e5:0xda4d03d1a42373b8!8m2!3d6.5474406!4d3.3817318!16s%2Fg%2F1ptyjp7w0!19sChIJ5XJ24nSNOxARuHMjpNEDTdo,Bus stop,"Residence Rd, Somolu 102216, Lagos, Nigeria",Somolu,11006,71425,14046,24109,16703
Somolu Oja (Market),https://www.google.com/maps/place/Somolu+Oja+%28Market%29/data=!4m7!3m6!1s0x103b8da8fd048197:0x47bfe294e48ed4a!8m2!3d6.533656!4d3.376522!16s%2Fg%2F11j0j2z4l3!19sChIJl4EE_aiNOxARSu1ITin-ewQ,Bus station,"Somolu 102216, Ikeja, Lagos, Nigeria",Somolu,10517,71615,14235,25450,17646
Johnson Bus Stop,https://www.google.com/maps/place/Johnson+Bus+Stop/data=!4m7!3m6!1s0x103b8da059178ee7:0x209490baa5503943!8m2!3d6.5432436!4d3.3775449!16s%2Fg%2F11gzshjb3!19sChIJ544XWaCNOxARQzlQpbqQlCA,Bus stop,"Igi Olugbin Road, Somolu 102216, Lagos, Nigeria",Somolu,10423,71521,14141,25356,17489
Apata Bus Stop,https://www.google.com/maps/place/Apata+Bus+Stop/data=!4m7!3m6!1s0x103b8daf280ef1ef:0xfd7140a0564f63e6!8m2!3d6.532462!4d3.3735618!16s%2Fg%2F11h1c1pn3!19sChIJ7_EOKK-NOxAR5mNPVqBAcf0,Bus stop,"Somolu 102216, Lagos, Nigeria",Somolu,10517,71615,14235,25450,17646
Kadupe Bus Stop,https://www.google.com/maps/place/Kadupe+Bus+Stop/data=!4m7!3m6!1s0x103b8da226637085:0xb5f8870136a0fd81!8m2!3d6.5438725!4d3.3738971!16s%2Fg%2F1ydny_jb2!19sChIJhXBjJqKNOxARgf2gNgGH-LU,Bus stop,"Pedro Road, Somolu 102216, Lagos, Nigeria",Somolu,9275,70372,12993,24207,17687
Onipan Aladiye Bus Stop,https://www.google.com/maps/place/Onipan+Aladiye+Bus+Stop/data=!4m7!3m6!1s0x103b8dbaec728dd7:0xc90f307a4963c265!8m2!3d6.536683!4d3.3675134!16s%2Fg%2F11g_4xjl6!19sChIJ141y7LqNOxARZcJjSXowD8k,Bus stop,"Onipanu 102216, Lagos, Nigeria",Somolu,10578,71675,14295,25505,22458
First Pedro Bus Stop,https://www.google.com/maps/place/First+Pedro+Bus+Stop/data=!4m7!3m6!1s0x103b8d7583a9a39d:0x4933c1b642e2e6d1!8m2!3d6.5486527!4d3.3797257!16s%2Fg%2F1tfgrdrz!19sChIJnaOpg3WNOxAR0ebiQrbBM0k,Bus stop,"Apapa Oworonshoki Expy, Somolu 105102, Lagos, Nigeria",Somolu,8072,68491,11112,23005,21306
Fadeyi Bus Stop,https://www.google.com/maps/place/Fadeyi+Bus+Stop/data=!4m7!3m6!1s0x103b8c4d15247283:0x4b22330fb8e4692a!8m2!3d6.5229838!4d3.3678074!16s%2Fg%2F11f38qsg54!19sChIJg3IkFU2MOxARKmnkuA8zIks,Bus station,"Igbobi 101245, Lagos, Nigeria",Somolu,10943,65156,14661,25870,14827
Kajola Bus Stop,https://www.google.com/maps/place/Kajola+Bus+Stop/data=!4m7!3m6!1s0x103b8d0ee280d0ff:0xc4220aa51e13bad8!8m2!3d6.5376369!4d3.385967!16s%2Fg%2F113dz54_n!19sChIJ_9CA4g6NOxAR2LoTHqUKIsQ,Bus stop,"Igi Olugbin St, Bariga 102216, Lagos, Nigeria",Somolu,10142,71239,13860,25074,17770
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8cfdf363ae91:0x780b2743722fe60a!8m2!3d6.5240705!4d3.3855379!16s%2Fg%2F11g_5xgtq!19sChIJka5j8_2MOxARCuYvckMnC3g,Bus stop,"Oluwole St, Yaba 102216, Lagos, Nigeria",Somolu,14078,66386,11538,29006,13760
Olopomeji Bus Stop,https://www.google.com/maps/place/Olopomeji+Bus+Stop/data=!4m7!3m6!1s0x103b8d6bd1ea7f95:0xb7bcead4cb08dea3!8m2!3d6.5503051!4d3.3964598!16s%2Fg%2F1hhw0_zpf!19sChIJlX_q0WuNOxARo94Iy9TqvLc,Bus stop,"Third Axial Rd, Somolu 102216, Lagos, Nigeria",Somolu,10517,70936,13557,25449,15304
UNILAG BUS SERVICE,https://www.google.com/maps/place/UNILAG+BUS+SERVICE/data=!4m7!3m6!1s0x103b8d1a7c9e1d09:0x3a0cff7559946316!8m2!3d6.5348796!4d3.3918269!16s%2Fg%2F1wk09yss!19sChIJCR2efBqNOxARFmOUWXX_DDo,Bus stop,"Abeokuta St, Somolu 102216, Lagos, Nigeria",Somolu,12684,73103,15724,25678,17137
Gbagada,https://www.google.com/maps/place/Gbagada/data=!4m7!3m6!1s0x103b8d726878f49f:0x89fc904036c0c8e7!8m2!3d6.548962!4d3.388158!16s%2Fg%2F11b6bd2qbs!19sChIJn_R4aHKNOxAR58jANkCQ_Ik,Bus stop,"Somolu 102216, Ikeja, Lagos, Nigeria",Somolu,10517,71615,14235,25450,17646
Chemist Bus Stop,https://www.google.com/maps/place/Chemist+Bus+Stop/data=!4m7!3m6!1s0x103b8d00c803b307:0xd2241eb29efba9e4!8m2!3d6.529059!4d3.3804765!16s%2Fg%2F11g_90131!19sChIJB7MDyACNOxAR5Kn7nrIeJNI,Bus stop,"Opere St, Somolu 102216, Lagos, Nigeria",Somolu,11928,66141,15645,26855,14154
Iyana Igbobi Bus Stop,https://www.google.com/maps/place/Iyana+Igbobi+Bus+Stop/data=!4m7!3m6!1s0x103b8dacdb050379:0x9d1ecf16f8477d92!8m2!3d6.5252909!4d3.3721483!16s%2Fg%2F11g_47fcp!19sChIJeQMF26yNOxARkn1H-BbPHp0,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Somolu,14414,74833,17454,26394,22683
Mosalashi Bus Stop,https://www.google.com/maps/place/Mosalashi+Bus+Stop/data=!4m7!3m6!1s0x103b8c4e2f186a3f:0x67382dbe00851279!8m2!3d6.5170383!4d3.3688305!16s%2Fg%2F1w44h70x!19sChIJP2oYL06MOxAReRKFAL4tOGc,Bus stop,"Higher College Rd, Yaba 101245, Lagos, Nigeria",Somolu,14131,66439,11590,29058,12683
APATA BUS-STOP,https://www.google.com/maps/place/APATA+BUS-STOP/data=!4m7!3m6!1s0x103b8d67d912d3d9:0x59f1c5911b66f916!8m2!3d6.5324477!4d3.373727!16s%2Fg%2F11nx2v413l!19sChIJ2dMS2WeNOxARFvlmG5HF8Vk,Transportation service,"G9JF+XFH, Adurosakin St, Igbobi 102216, Lagos, Nigeria",Somolu,10811,71908,14529,25743,15691
Charly Boy Bus Stop,https://www.google.com/maps/place/Charly+Boy+Bus+Stop/data=!4m7!3m6!1s0x103b8d9e2c6c0a39:0x34c8cf0fc6534f4c!8m2!3d6.5483719!4d3.3787432!16s%2Fg%2F11j0j30m9b!19sChIJOQpsLJ6NOxARTE9Txg_PyDQ,Bus station,"Pedro 102216, Ikeja, Lagos, Nigeria",Somolu,8499,72817,15438,23431,18095
Idi Aba Bus Stop,https://www.google.com/maps/place/Idi+Aba+Bus+Stop/data=!4m7!3m6!1s0x103b8d0f748eb0dd:0xf168c94d751aaf2a!8m2!3d6.5361713!4d3.3865088!16s%2Fg%2F113h6hqsd!19sChIJ3bCOdA-NOxARKq8adU3JaPE,Bus stop,"Tapka street, Somolu 102216, Lagos, Nigeria",Somolu,10517,71615,14235,25450,17646
Anthony,https://www.google.com/maps/place/Anthony/data=!4m7!3m6!1s0x103b8d8faeb9970f:0x6203bdd8d0d2ef7a!8m2!3d6.5582797!4d3.3670348!16s%2Fg%2F1hhv_cyn2!19sChIJD5e5ro-NOxAReu_S0Ni9A2I,Bus stop,"Gbagada 102216, Lagos, Nigeria",Somolu,10802,71221,13842,24481,16492
Second pedro,https://www.google.com/maps/place/Second+pedro/data=!4m7!3m6!1s0x103b8d9fd5600fe5:0xbe8067004e77ca7d!8m2!3d6.5485258!4d3.3790348!16s%2Fg%2F1tkgt9kl!19sChIJ5Q9g1Z-NOxARfcp3TgBngL4,Bus stop,"Gbagada Express Way, Pedro 102216, Lagos, Nigeria",Somolu,9838,70257,12878,23460,15471
Iyana Fadeyi Bus Stop,https://www.google.com/maps/place/Iyana+Fadeyi+Bus+Stop/data=!4m7!3m6!1s0x103b8c525b2f7139:0xa84654ca5c3d53b7!8m2!3d6.5211445!4d3.3708286!16s%2Fg%2F11h0c4cvl!19sChIJOXEvW1KMOxARt1M9XMpURqg,Bus stop,"Alakija St, Surulere 101245, Lagos, Nigeria",Somolu,11409,64101,9253,26336,13773
