title,placeUrl,category,address,LGA
Kith and Kin Bus Stop,https://www.google.com/maps/place/Kith+and+Kin+Bus+Stop/data=!4m7!3m6!1s0x103bf275a93a9b6b:0xf0302866269e05d3!8m2!3d6.5641191!4d3.4773345!16s%2Fg%2F11bwbwr0lg!19sChIJa5s6qXXyOxAR0wWeJmYoMPA,Bus stop,"Kaoli Olusanyanya Street, Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ikorodu
Ojubode Ayangburin Road Ikorodu,https://www.google.com/maps/place/Ojubode+Ayangburin+Road+Ikorodu/data=!4m7!3m6!1s0x103bee83266ebe13:0x249812ccab294ef1!8m2!3d6.6186896!4d3.5031336!16s%2Fg%2F11rp69zr94!19sChIJE75uJoPuOxAR8U4pq8wSmCQ,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Owoseni Bus Stop,https://www.google.com/maps/place/Owoseni+Bus+Stop/data=!4m7!3m6!1s0x103beb9c3d20f111:0xc9e21da2a41b9fb!8m2!3d6.6670212!4d3.4635687!16s%2Fg%2F11g_2xmy2!19sChIJEfEgPZzrOxAR-7lBKtohngw,Bus stop,"Owoseni St, Ikorodu 104101, ISAWO, Lagos, Nigeria",Ikorodu
Odogunyan,https://www.google.com/maps/place/Odogunyan/data=!4m7!3m6!1s0x103be9480a402549:0x722e4f51331cfa61!8m2!3d6.6739374!4d3.5163978!16s%2Fg%2F11b6bmvgcg!19sChIJSSVACkjpOxARYfocM1FPLnI,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Tos Benson,https://www.google.com/maps/place/Tos+Benson/data=!4m7!3m6!1s0x103bee9d176d0edb:0xd34bf7b7f2a4752!8m2!3d6.6206402!4d3.5027155!16s%2Fg%2F12lkxjq7q!19sChIJ2w5tF53uOxARUkcqf3u_NA0,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Islamic Bus Stop,"https://www.google.com/maps/place/Islamic+Bus+Stop/@6.5647544,3.5139577,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf17dfb98d041:0x8d77841a2702e69!8m2!3d6.5647544!4d3.5139577!16s%2Fg%2F11fj82yrqm",Corporate office,"islamic bus stop, offin ile 104102, Ikorodu, Lagos, Nigeria",Ikorodu
"Adamo Bus Stop Market, Ikorodu","https://www.google.com/maps/place/Adamo+Bus+Stop+Market,+Ikorodu/data=!4m7!3m6!1s0x103be71ece7da61d:0xc69689a6f198b99e!8m2!3d6.6613211!4d3.5919808!16s%2Fg%2F11kc_2ctr2!19sChIJHaZ9zh7nOxARnrmY8aaJlsY",Market,"MH6R+GQH, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Police Station Ikorodu,https://www.google.com/maps/place/Police+Station+Ikorodu/data=!4m7!3m6!1s0x103bedd1877dd7a5:0x86dc53da98c0ad8f!8m2!3d6.603534!4d3.492312!16s%2Fg%2F11pw4_ml45!19sChIJpdd9h9HtOxARj63AmNpT3IY,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Road E,"https://www.google.com/maps/place/Road+E/@6.57863,3.52617,17z/data=!3m1!4b1!4m6!3m5!1s0x103bee3b6535e2f9:0x4c6305ff4b6c3462!8m2!3d6.57863!4d3.52617!16s%2Fg%2F11rp69zr92",Bus stop,"Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ikorodu
Alasalatu,https://www.google.com/maps/place/Alasalatu/data=!4m7!3m6!1s0x103bec7456fb187d:0x6134993013bf4222!8m2!3d6.6485136!4d3.4774169!16s%2Fg%2F11h1dvc8n!19sChIJfRj7VnTsOxARIkK_EzCZNGE,Bus stop,"Owutu-Isawo Rd, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
