title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Iddo,https://www.google.com/maps/place/Iddo/data=!4m7!3m6!1s0x103b8b82a7f2d5e3:0x78bec93f347f347f!8m2!3d6.47189!4d3.379176!16s%2Fg%2F11b6b8zc30!19sChIJ49Xyp4KLOxARfzR_ND_Jvng,Bus stop,"Ijora Olopa 101245, Ikeja, Lagos, Nigeria",Lagos Island,18477,62284,15513,33404,7061
Agbo Bus Stop,https://www.google.com/maps/place/Agbo+Bus+Stop/data=!4m7!3m6!1s0x103b8bbc16112d4b:0x171360477f451f78!8m2!3d6.45655!4d3.36497!16s%2Fg%2F11pw50cv0s!19sChIJSy0RFryLOxAReB9Ff0dgExc,Bus stop,"Ijora 102272, Ikeja, Lagos, Nigeria",Lagos Island,18678,62702,15715,33606,8801
Broad Street Opp Diamond Bank,https://www.google.com/maps/place/Broad+Street+Opp+Diamond+Bank/data=!4m7!3m6!1s0x103b8b0c046efe8f:0x856522d361372443!8m2!3d6.45553!4d3.38467!16s%2Fg%2F1ptx_tq70!19sChIJj_5uBAyLOxARQyQ3YdMiZYU,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Airways Bus Stop,https://www.google.com/maps/place/Airways+Bus+Stop/data=!4m7!3m6!1s0x103b8bafb58fcef9:0x610f44c008199f82!8m2!3d6.4474318!4d3.3703995!16s%2Fg%2F1td_7hm4!19sChIJ-c6Pta-LOxARgp8ZCMBED2E,Bus stop,"Apapa Rd, Apapa 102272, Lagos, Nigeria",Lagos Island,19122,61628,16158,34050,9578
Post Office,https://www.google.com/maps/place/Post+Office/data=!4m7!3m6!1s0x103b8ad257c34b9f:0x8d15ce250e63d6ce!8m2!3d6.43043!4d3.41699!16s%2Fg%2F1pv5x53w9!19sChIJn0vDV9KKOxARztZjDiXOFY0,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Inner Marina/CMS,https://www.google.com/maps/place/Inner+Marina%2FCMS/data=!4m7!3m6!1s0x103b8b0ec0f5c9c7:0xbad49b03a7d3efeb!8m2!3d6.453711!4d3.385342!16s%2Fg%2F11b6bbghyw!19sChIJx8n1wA6LOxAR6-_TpwOb1Lo,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Muri Okunola,https://www.google.com/maps/place/Muri+Okunola/data=!4m7!3m6!1s0x103bf524417a332d:0x99e87db2ab03f56a!8m2!3d6.431915!4d3.433249!16s%2Fg%2F11ppcvltj0!19sChIJLTN6QST1OxARavUDq7J96Jk,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Apapa,https://www.google.com/maps/place/Apapa/data=!4m7!3m6!1s0x103b8a536ceeeedb:0x535d516a9b150975!8m2!3d6.4374901!4d3.3730093!16s%2Fg%2F1hhwxls01!19sChIJ2-7ubFOKOxARdQkVm2pRXVM,Bus stop,"Apapa Oworonshoki Expy, Apapa 102272, Lagos, Nigeria",Lagos Island,27691,58966,20438,42621,16517
Alex Bus Stop,https://www.google.com/maps/place/Alex+Bus+Stop/data=!4m7!3m6!1s0x103b8a527eddf5fb:0x5bc373f5f6342dcd!8m2!3d6.4363786!4d3.3693051!16s%2Fg%2F1hhw09cxz!19sChIJ-_XdflKKOxARzS009vVzw1s,Bus stop,"Apapa Oworonshoki Expy, Apapa 102272, Lagos, Nigeria",Lagos Island,27691,58966,20438,42621,16517
Barrow Bus Stop,https://www.google.com/maps/place/Barrow+Bus+Stop/data=!4m7!3m6!1s0x103bf4c1f47c4a1b:0xdf60e7866edac728!8m2!3d6.4550913!4d3.4386454!16s%2Fg%2F11tgfrmhz3!19sChIJG0p89MH0OxARKMfabobnYN8,Bus stop,"Ikoyi 106104, Lagos, Nigeria",Lagos Island,26772,69621,29812,38752,4080
Ibadan Street Bus Stop,https://www.google.com/maps/place/Ibadan+Street+Bus+Stop/data=!4m7!3m6!1s0x103b8c83fd570f4b:0xfb348ea6ec912e6f!8m2!3d6.4862394!4d3.3843473!16s%2Fg%2F1hhxgqv4y!19sChIJSw9X_YOMOxARby6R7KaONPs,Bus stop,"Herbert Macaulay Way, Ebute Metta 101245, Lagos, Nigeria",Lagos Island,19770,64324,22809,31749,9480
Jebba Bus Stop,https://www.google.com/maps/place/Jebba+Bus+Stop/data=!4m7!3m6!1s0x103b8c8240cf2e7b:0xd9f9537fcd462e70!8m2!3d6.483374!4d3.3856076!16s%2Fg%2F1hhwk0whf!19sChIJey7PQIKMOxARcC5GzX9T-dk,Bus stop,"Ebute Metta 101245, Lagos, Nigeria",Lagos Island,16382,60309,13418,31310,8765
Oyingbo Bus Stop,https://www.google.com/maps/place/Oyingbo+Bus+Stop/data=!4m7!3m6!1s0x103b8c81e6df8115:0xc311e81bf1a9819c!8m2!3d6.482167!4d3.383145!16s%2Fg%2F1hhvlh9yh!19sChIJFYHf5oGMOxARnIGp8RvoEcM,Bus stop,"Murtala Muhammed, Lagos Mainland 101245, Lagos, Nigeria",Lagos Island,20795,64710,23835,32774,10505
Idowu Martins Bus Stop,https://www.google.com/maps/place/Idowu+Martins+Bus+Stop/data=!4m7!3m6!1s0x103bf52d347c5187:0x26a94f406e04c852!8m2!3d6.4299507!4d3.4197215!16s%2Fg%2F11snt1brdm!19sChIJh1F8NC31OxARUsgEbkBPqSY,Bus stop,"Victoria Island 106104, Lagos, Nigeria",Lagos Island,28480,69136,31520,40460,4971
Officer Mess,https://www.google.com/maps/place/Officer+Mess/data=!4m7!3m6!1s0x103b8b20e497edcd:0x9ebed76d32dda23!8m2!3d6.44135!4d3.40261!16s%2Fg%2F1ptw88zry!19sChIJze2X5CCLOxARI9ot03bt6wk,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Airways,https://www.google.com/maps/place/Airways/data=!4m7!3m6!1s0x103b8bafb62f1b5f:0xe60a631a22d39f66!8m2!3d6.447725!4d3.370411!16s%2Fg%2F11r6y6z88s!19sChIJXxsvtq-LOxARZp_TIhpjCuY,Bus stop,"Ijora 102272, Ikeja, Lagos, Nigeria",Lagos Island,18678,62702,15715,33606,8801
