title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Total,https://www.google.com/maps/place/Total/data=!4m7!3m6!1s0x103bf7035f21c7fb:0x210234a7d104df6f!8m2!3d6.447661!4d3.545703!16s%2Fg%2F1hhxq4_xc!19sChIJ-8chXwP3OxARb98E0ac0AiE,Bus stop,"Lekki Penninsula II 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,38300,80437,41340,50280,16272
Papa,"https://www.google.com/maps/place/Papa/@6.501902,3.599891,17z/data=!3m1!4b1!4m6!3m5!1s0x103bfa6acea799eb:0xbf5cec150fbe3d05!8m2!3d6.501902!4d3.599891!16s%2Fg%2F11ppcvs_v8",Bus stop,"Lambasa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,50711,92848,53751,62691,28683
Jazz 38 Bus Stop,https://www.google.com/maps/place/Jazz+38+Bus+Stop/data=!4m7!3m6!1s0x103bf5af2cb9390b:0xcfc1d3bf3f6bbd28!8m2!3d6.4302727!4d3.4650385!16s%2Fg%2F1hhwhsd_m!19sChIJCzm5LK_1OxARKL1rP7_Twc8,Bus stop,"Lekki-Epe Expressway, Eti-Osa 106104, Lagos, Nigeria",Ibeju Lekki,41048,83185,44088,53028,19020
Chevron,https://www.google.com/maps/place/Chevron/data=!4m7!3m6!1s0x103bf6f90cc979b9:0x648c84cd6c86dd48!8m2!3d6.4417015!4d3.5320079!16s%2Fg%2F1tjcrh3y!19sChIJuXnJDPn2OxARSN2GbM2EjGQ,Bus stop,"Lekki Conservation Centre Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,40097,82233,43137,52076,18068
Powerline,https://www.google.com/maps/place/Powerline/data=!4m7!3m6!1s0x103bfa0c534304cf:0x6d3912daced1197c!8m2!3d6.4986!4d3.588795!16s%2Fg%2F11ppc_9296!19sChIJzwRDUwz6OxARfBnRztoSOW0,Bus stop,"Lambasa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,50711,92848,53751,62691,28683
Lekki Phase 1,https://www.google.com/maps/place/Lekki+Phase+1/data=!4m7!3m6!1s0x103bf501712df3d1:0xf2d19c2f77c2f7ff!8m2!3d6.4352526!4d3.4563501!16s%2Fg%2F11b6b4zxyb!19sChIJ0fMtcQH1OxAR__fCdy-c0fI,Bus station,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Mobolaji Johnson,https://www.google.com/maps/place/Mobolaji+Johnson/data=!4m7!3m6!1s0x103bf5b1c5e78e33:0x220c6a296dbc41df!8m2!3d6.431379!4d3.470947!16s%2Fg%2F11b6bc8_8t!19sChIJM47nxbH1OxAR30G8bSlqDCI,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
2nd Roundabout Lekki,https://www.google.com/maps/place/2nd+Roundabout+Lekki/data=!4m7!3m6!1s0x103bf5ae299dc1cd:0xea374e1fd4e910d3!8m2!3d6.431031!4d3.46988!16s%2Fg%2F11b6b5fs37!19sChIJzcGdKa71OxAR0xDp1B9ON-o,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Ikate (3Rd Roundabout Lekki),https://www.google.com/maps/place/Ikate+%283Rd+Roundabout+Lekki%29/data=!4m7!3m6!1s0x103bf5c978b6d709:0x8e7d00b7ce5150ab!8m2!3d6.43285!4d3.482722!16s%2Fg%2F11j0j2vg38!19sChIJCde2eMn1OxARq1BRzrcAfY4,Bus station,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Badore,https://www.google.com/maps/place/Badore/data=!4m7!3m6!1s0x103bfa45bcfc587d:0x53ab30c4f2d6deaf!8m2!3d6.508676!4d3.610212!16s%2Fg%2F11r6y17pvb!19sChIJfVj8vEX6OxARr97W8sQwq1M,Bus stop,"Lambasa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,50711,92848,53751,62691,28683
"AKTC - Bus Terminal - Lekki-Epe Expressway, Ajah","https://www.google.com/maps/place/AKTC+-+Bus+Terminal+-+Lekki-Epe+Expressway,+Ajah/data=!4m7!3m6!1s0x103bf71146e70a45:0x2b8dd49ae3878f1b!8m2!3d6.452734!4d3.5557415!16s%2Fg%2F11g8wwdmj1!19sChIJRQrnRhH3OxARG4-H45rUjSs",Transportation service,"12 Lekki - Epe Expy, Aja 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,45351,87488,48391,57330,23322
Jakande (5Th Roundabout Lekki),https://www.google.com/maps/place/Jakande+%285Th+Roundabout+Lekki%29/data=!4m7!3m6!1s0x103bf67d115bfb69:0xa098019e3eb1165c!8m2!3d6.436669!4d3.508817!16s%2Fg%2F11j0j2_ydq!19sChIJaftbEX32OxARXBaxPp4BmKA,Bus station,"Lekki Penninsula II 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,38300,80437,41340,50280,16272
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x1039442a81e4d2dd:0x92a6360a422d3f38!8m2!3d6.607546!4d3.9878148!16s%2Fg%2F1tcwz10g!19sChIJ3dLkgSpEORAROD8tQgo2ppI,Bus stop,"106101, Epe, Lagos, Nigeria",Ibeju Lekki,117910,189091,131711,64547,76063
VGC Bus Services,https://www.google.com/maps/place/VGC+Bus+Services/data=!4m7!3m6!1s0x103bf73d95d31795:0x98d9fc6b805f7969!8m2!3d6.4604834!4d3.5544124!16s%2Fg%2F11h01r6pv!19sChIJlRfTlT33OxARaXlfgGv82Zg,Bus stop,"Eti-Osa 106104, Lagos, Nigeria",Ibeju Lekki,40552,82689,43592,52532,18524
ASAJON WAY BUSSTOP,https://www.google.com/maps/place/ASAJON+WAY+BUSSTOP/data=!4m7!3m6!1s0x103bf9330cd026c3:0xe0e81c2a731173bd!8m2!3d6.4705603!4d3.6496925!16s%2Fg%2F11nmcrwgx5!19sChIJwybQDDP5OxARvXMRcyoc6OA,Housing society,"FJCX+6VG, Eti-Osa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,53608,95745,56648,65588,31580
Lekki Phase 1 Estate,https://www.google.com/maps/place/Lekki+Phase+1+Estate/data=!4m7!3m6!1s0x103bf44840766c23:0x786c9f121d544ca!8m2!3d6.447757!4d3.478866!16s%2Fg%2F11fp8l0kxk!19sChIJI2x2QEj0OxARykTVIfHJhgc,Bus station,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Igbo Efon,https://www.google.com/maps/place/Igbo+Efon/data=!4m7!3m6!1s0x103bf6f5790b3689:0x26ae9a85dee180d!8m2!3d6.4384885!4d3.5218623!16s%2Fg%2F1tnpbkky!19sChIJiTYLefX2OxARDRjuXajpagI,Bus stop,"Eti-Osa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,40552,82689,43592,52532,18524
Oke Eletu Bus Stop,https://www.google.com/maps/place/Oke+Eletu+Bus+Stop/data=!4m7!3m6!1s0x103be564e192b8bd:0x8cc5d8f8e7e2fd46!8m2!3d6.59591!4d3.58878!16s%2Fg%2F11snt1c9s4!19sChIJvbiS4WTlOxARRv3i5_jYxYw,Bus stop,"Ikorodu 104102, Mowo Kekere, Lagos, Nigeria",Ibeju Lekki,35975,99309,41930,11952,48847
Eleganza,https://www.google.com/maps/place/Eleganza/data=!4m7!3m6!1s0x103bf7036f3f9d31:0x646cefc481505d6e!8m2!3d6.447005!4d3.545135!16s%2Fg%2F11j0j2q406!19sChIJMZ0_bwP3OxARbl1QgcTvbGQ,Bus station,"Lekki Penninsula II 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,38300,80437,41340,50280,16272
Owode,"https://www.google.com/maps/place/Owode/@6.503005,3.58267,17z/data=!3m1!4b1!4m6!3m5!1s0x103bfa753fd68e4d:0xc13d1c0dc68848a6!8m2!3d6.503005!4d3.58267!16s%2Fg%2F11ppck7161",Bus stop,"Lambasa 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,50711,92848,53751,62691,28683
Road 13,https://www.google.com/maps/place/Road+13/data=!4m7!3m6!1s0x103bf457a97b4d91:0xa81249ec9238ac3a!8m2!3d6.447003!4d3.462261!16s%2Fg%2F11r6xyg52r!19sChIJkU17qVf0OxAROqw4kuxJEqg,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Road 5,https://www.google.com/maps/place/Road+5/data=!4m7!3m6!1s0x103bf6decd81bcf5:0xca6bbbc0f8e1ddc3!8m2!3d6.464577!4d3.537616!16s%2Fg%2F11ppcw871v!19sChIJ9byBzd72OxARw93h-MC7a8o,Bus stop,"Victoria garden City 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,44426,86563,47466,56405,22398
Phcn,https://www.google.com/maps/place/Phcn/data=!4m7!3m6!1s0x103bf448609775f1:0xf3c5d68bbdd7aecb!8m2!3d6.447917!4d3.477836!16s%2Fg%2F11ppcvdlwb!19sChIJ8XWXYEj0OxARy67XvYvWxfM,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Agungi,https://www.google.com/maps/place/Agungi/data=!4m7!3m6!1s0x103bf661e0dbf0c1:0x684ce03f15e0adea!8m2!3d6.438028!4d3.516637!16s%2Fg%2F11b6c6026x!19sChIJwfDb4GH2OxAR6q3gFT_gTGg,Bus stop,"Lekki Penninsula II 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,38300,80437,41340,50280,16272
