title,placeUrl,category,address,LGA
Folagoro Bus Stop,https://www.google.com/maps/place/Folagoro+Bus+Stop/data=!4m7!3m6!1s0x103b8cffed048747:0x7f22d0e10dbcc905!8m2!3d6.5231777!4d3.3799723!16s%2Fg%2F11gz6r5g9!19sChIJR4cE7f-MOxARBcm8DeHQIn8,Bus stop,"Fola Agoro St, Lagos Mainland 101245, Lagos, Nigeria",Lagos Mainland
Oyingbo Bus Stop,https://www.google.com/maps/place/Oyingbo+Bus+Stop/data=!4m7!3m6!1s0x103b8c81e6df8115:0xc311e81bf1a9819c!8m2!3d6.482167!4d3.383145!16s%2Fg%2F1hhvlh9yh!19sChIJFYHf5oGMOxARnIGp8RvoEcM,Bus stop,"Murtala Muhammed, Lagos Mainland 101245, Lagos, Nigeria",Lagos Mainland
Spencer Bus Station,https://www.google.com/maps/place/Spencer+Bus+Station/data=!4m7!3m6!1s0x103b8c60666b91f9:0x9f7280a87177780c!8m2!3d6.5020291!4d3.377223!16s%2Fg%2F1wfz1306!19sChIJ-ZFrZmCMOxARDHh3caiAcp8,Bus station,"Herbert Macaulay Way, Yaba 101245, Lagos, Nigeria",Lagos Mainland
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8cfdf363ae91:0x780b2743722fe60a!8m2!3d6.5240705!4d3.3855379!16s%2Fg%2F11g_5xgtq!19sChIJka5j8_2MOxARCuYvckMnC3g,Bus stop,"Oluwole St, Yaba 102216, Lagos, Nigeria",Lagos Mainland
Alagomeji Bus Stop,https://www.google.com/maps/place/Alagomeji+Bus+Stop/data=!4m7!3m6!1s0x103b8c6235059a69:0x1e0b762df3f6e3f!8m2!3d6.496569!4d3.376815!16s%2Fg%2F11h0pwzgl!19sChIJaZoFNWKMOxARP24_32K34AE,Bus stop,"Murtala Muhammed Way, Alagomeji-Yaba 101245, Lagos, Nigeria",Lagos Mainland
Alagomeji Bus Station,https://www.google.com/maps/place/Alagomeji+Bus+Station/data=!4m7!3m6!1s0x103b8c61c8393b2d:0xc94f8561fa8c003d!8m2!3d6.4997771!4d3.3781725!16s%2Fg%2F1tm9d9kt!19sChIJLTs5yGGMOxARPQCM-mGFT8k,Bus station,"Hughes Ave, Yaba 101245, Lagos, Nigeria",Lagos Mainland
Apena Bus Stop,https://www.google.com/maps/place/Apena+Bus+Stop/data=!4m7!3m6!1s0x103b8c86bb50a4c3:0xd38ee94a77ce63e8!8m2!3d6.4880538!4d3.3835799!16s%2Fg%2F1hhwv7n7t!19sChIJw6RQu4aMOxAR6GPOd0rpjtM,Bus stop,"Lagos St, Ebute Metta 101245, Lagos, Nigeria",Lagos Mainland
Jebba Bus Stop,https://www.google.com/maps/place/Jebba+Bus+Stop/data=!4m7!3m6!1s0x103b8c8240cf2e7b:0xd9f9537fcd462e70!8m2!3d6.483374!4d3.3856076!16s%2Fg%2F1hhwk0whf!19sChIJey7PQIKMOxARcC5GzX9T-dk,Bus stop,"Ebute Metta 101245, Lagos, Nigeria",Lagos Mainland
Unilag Faculty of Sciences Junction Bus Stop,https://www.google.com/maps/place/Unilag+Faculty+of+Sciences+Junction+Bus+Stop/data=!4m7!3m6!1s0x103b8ce7bb48c46d:0x555d4001d52605ae!8m2!3d6.5155669!4d3.3977365!16s%2Fg%2F11r8_gnr5!19sChIJbcRIu-eMOxARrgUm1QFAXVU,Bus stop,"Yaba 101245, Lagos, Nigeria",Lagos Mainland
Lagos Street,https://www.google.com/maps/place/Lagos+Street/data=!4m7!3m6!1s0x103b8c852e48075f:0x2bd04b8daeb889a2!8m2!3d6.490287!4d3.388856!16s%2Fg%2F11h84r8mfr!19sChIJXwdILoWMOxARoom4ro1L0Cs,Bus station,"Adekunle 101245, Lagos, Nigeria",Lagos Mainland
Oyingbo Bus Terminal,https://www.google.com/maps/place/Oyingbo+Bus+Terminal/data=!4m7!3m6!1s0x103b8b7e152dd649:0xbe9cb41c853d1db9!8m2!3d6.4800521!4d3.3832816!16s%2Fg%2F1tg2ygl1!19sChIJSdYtFX6LOxARuR09hRy0nL4,Bus station,"Oyingbo Rd, Lagos Mainland 101245, Lagos, Nigeria",Lagos Mainland
Yaba Bus Terminal,https://www.google.com/maps/place/Yaba+Bus+Terminal/data=!4m7!3m6!1s0x103b8d8f36482011:0xb2c8021aea83a3f6!8m2!3d6.5106092!4d3.3709249!16s%2Fg%2F11pbxc0f5n!19sChIJESBINo-NOxAR9qOD6hoCyLI,Transportation service,"G96C+69V, Yaba Bus Park, Lagos Mainland 101245, Lagos, Nigeria",Lagos Mainland
Post Office Bus Stop,https://www.google.com/maps/place/Post+Office+Bus+Stop/data=!4m7!3m6!1s0x103b8c80cc3429d1:0xc1acf56f7befaaa2!8m2!3d6.486732!4d3.3808118!16s%2Fg%2F1hhxc5kj0!19sChIJ0Sk0zICMOxARoqrve2_1rME,Bus stop,"Lagos St, Ebute Metta 101245, Lagos, Nigeria",Lagos Mainland
Kano Street Bus Stop,https://www.google.com/maps/place/Kano+Street+Bus+Stop/data=!4m7!3m6!1s0x103b8dc73c0576fb:0x6874212b0784bb50!8m2!3d6.4833083!4d3.3857769!16s%2Fg%2F11n5j2gljc!19sChIJ-3YFPMeNOxARULuEByshdGg,Bus charter,"OYINGBO, Kano St, Adekunle 101245, Lagos, Nigeria",Lagos Mainland
Yaba Station,https://www.google.com/maps/place/Yaba+Station/data=!4m7!3m6!1s0x103b8c5b10c80849:0x76e6a6e9e1696678!8m2!3d6.510682!4d3.370866!16s%2Fg%2F1tfsq01_!19sChIJSQjIEFuMOxAReGZp4emm5nY,Bus stop,"Lagos Mainland 101245, Lagos, Nigeria",Lagos Mainland
Waec Bus Stop,https://www.google.com/maps/place/Waec+Bus+Stop/data=!4m7!3m6!1s0x103b8c51a3d2827d:0x23d4131a02344f1!8m2!3d6.5176!4d3.37129!16s%2Fg%2F11r6y2kxtt!19sChIJfYLSo1GMOxAR8UQjoDFBPQI,Bus stop,"Jibowu 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
Jibowu Bus Stop,https://www.google.com/maps/place/Jibowu+Bus+Stop/data=!4m7!3m6!1s0x103b8c4dd963e4ef:0x210a4ab6767bbd25!8m2!3d6.5194683!4d3.3674491!16s%2Fg%2F1hhwbh_bt!19sChIJ7-Rj2U2MOxARJb17drZKCiE,Bus stop,"Murtala Muhammed Way, Jibowu 101245, Lagos, Nigeria",Lagos Mainland
Bus Rapid Transport,https://www.google.com/maps/place/Bus+Rapid+Transport/data=!4m7!3m6!1s0x103b8c826aca0241:0xfaa0bf9dcdb62331!8m2!3d6.4830315!4d3.3854545!16s%2Fg%2F119w20yth!19sChIJQQLKaoKMOxARMSO2zZ2_oPo,Bus stop,"Oyingbo Rd, Ebute Metta 101245, Lagos, Nigeria",Lagos Mainland
Iyana Igbobi Bus Stop,https://www.google.com/maps/place/Iyana+Igbobi+Bus+Stop/data=!4m7!3m6!1s0x103b8dacdb050379:0x9d1ecf16f8477d92!8m2!3d6.5252909!4d3.3721483!16s%2Fg%2F11g_47fcp!19sChIJeQMF26yNOxARkn1H-BbPHp0,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Lagos Mainland
AP Club Bus Stop,https://www.google.com/maps/place/AP+Club+Bus+Stop/data=!4m7!3m6!1s0x103b8c6176f2ec9f:0x469fd510a71913a9!8m2!3d6.498682!4d3.376494!16s%2Fg%2F1hjgvyg3h!19sChIJn-zydmGMOxARqRMZpxDVn0Y,Bus stop,"Murtala Muhammed Way, Yaba 101245, Lagos, Nigeria",Lagos Mainland
Ebute Ero Motor Park,https://www.google.com/maps/place/Ebute+Ero+Motor+Park/data=!4m7!3m6!1s0x103b8b737019e2a3:0x6d2240234ca749bb!8m2!3d6.462573!4d3.384961!16s%2Fg%2F1tdxy0t3!19sChIJo-IZcHOLOxARu0mnTCNAIm0,Bus stop,"Kosoko St, Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Post office bus stop,https://www.google.com/maps/place/Post+office+bus+stop/data=!4m7!3m6!1s0x103b8d6801e63d67:0x83f3bb7670fd09d9!8m2!3d6.4861449!4d3.3810393!16s%2Fg%2F11jpy1vfpj!19sChIJZz3mAWiNOxAR2Qn9cHa784M,Bus charter,"F9PJ+FC3, Glover St, Ebute Metta 101245, Lagos, Nigeria",Lagos Mainland
Yaba BRT Station,https://www.google.com/maps/place/Yaba+BRT+Station/data=!4m7!3m6!1s0x103b8c5b0c59a16f:0xa28b745a3218be57!8m2!3d6.509969!4d3.37122!16s%2Fg%2F11b5wjwf2d!19sChIJb6FZDFuMOxARV74YMlp0i6I,Bus stop,"Yaba 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
LAGOS BUS SERVICE LIMITED (LBSL) YABA workshop,https://www.google.com/maps/place/LAGOS+BUS+SERVICE+LIMITED+%28LBSL%29+YABA+workshop/data=!4m7!3m6!1s0x103b8da001c8646f:0x795e37b93b658715!8m2!3d6.5151302!4d3.3705812!16s%2Fg%2F11fk1dd0jl!19sChIJb2TIAaCNOxARFYdlO7k3Xnk,Bus company,"181-383 Edmund Cres, Lagos Mainland 100001, Lagos, Nigeria",Lagos Mainland
Transformer Bus Stop,https://www.google.com/maps/place/Transformer+Bus+Stop/data=!4m7!3m6!1s0x103b8c532baf534f:0xbe23600962546295!8m2!3d6.524241!4d3.3718398!16s%2Fg%2F11h0m_r9p!19sChIJT1OvK1OMOxARlWJUYglgI74,Bus stop,"Laiye Street, Surulere 101245, Lagos, Nigeria",Lagos Mainland
Sabo,https://www.google.com/maps/place/Sabo/data=!4m7!3m6!1s0x103b8c5f74e7bcf5:0xdabb94fca613e214!8m2!3d6.50595!4d3.37803!16s%2Fg%2F11r6y3xt5c!19sChIJ9bzndF-MOxARFOITpvyUu9o,Bus stop,"Sabo yaba 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
Ijora Olopa Bus Stop,https://www.google.com/maps/place/Ijora+Olopa+Bus+Stop/data=!4m7!3m6!1s0x103b8b9d22f7a067:0x590aa829133ddb24!8m2!3d6.4699449!4d3.3771673!16s%2Fg%2F11pw500kqs!19sChIJZ6D3Ip2LOxARJNs9EymoClk,Bus stop,"Ijora Olopa 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
Griffin Bus Stop Or Junction,https://www.google.com/maps/place/Griffin+Bus+Stop+Or+Junction/data=!4m7!3m6!1s0x103b8b0b11597489:0x34501d914e088690!8m2!3d6.4587623!4d3.3826564!16s%2Fg%2F11b5wgc0z8!19sChIJiXRZEQuLOxARkIYITpEdUDQ,Bus stop,"Bus Stop, Leventis, Apongbon, Griffin St, Lagos, Nigeria",Lagos Mainland
Iddo,https://www.google.com/maps/place/Iddo/data=!4m7!3m6!1s0x103b8b79df00c5fb:0xbfde3f8429ed2ce7!8m2!3d6.471267!4d3.382823!16s%2Fg%2F11b6bbmgwg!19sChIJ-8UA33mLOxAR5yztKYQ_3r8,Bus stop,"Lagos Mainland 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
Iddo,https://www.google.com/maps/place/Iddo/data=!4m7!3m6!1s0x103b8b82a7f2d5e3:0x78bec93f347f347f!8m2!3d6.47189!4d3.379176!16s%2Fg%2F11b6b8zc30!19sChIJ49Xyp4KLOxARfzR_ND_Jvng,Bus stop,"Ijora Olopa 101245, Ikeja, Lagos, Nigeria",Lagos Mainland
Ojuelegba Bus Station,https://www.google.com/maps/place/Ojuelegba+Bus+Station/data=!4m7!3m6!1s0x103b8c46ec56ec65:0x31653a32a5aa58a!8m2!3d6.510317!4d3.3626533!16s%2Fg%2F1v19zw83!19sChIJZexW7EaMOxARiqVaKqNTFgM,Bus station,"Surulere 101241, Lagos, Nigeria",Lagos Mainland
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8c4d36d6d93b:0xce697a8e72019117!8m2!3d6.5239745!4d3.3675778!16s%2Fg%2F11gzqccp4!19sChIJO9nWNk2MOxARF5EBco56ac4,Bus stop,"Alakija St, Surulere 101245, Lagos, Nigeria",Lagos Mainland
Folagoro Bus Stop,https://www.google.com/maps/place/Folagoro+Bus+Stop/data=!4m7!3m6!1s0x103b8d0746272251:0xdc195b33d6f8ea41!8m2!3d6.5303728!4d3.3802539!16s%2Fg%2F11g_gg0ld!19sChIJUSInRgeNOxARQer41jNbGdw,Bus stop,"Bajulaye Rd, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Adeniji Adele Bus Stop,https://www.google.com/maps/place/Adeniji+Adele+Bus+Stop/data=!4m7!3m6!1s0x103b8b6c883a2b97:0x715a1c7331c79fe2!8m2!3d6.4631277!4d3.3938155!16s%2Fg%2F1hhvlxs8z!19sChIJlys6iGyLOxAR4p_HMXMcWnE,Bus stop,"Adeniji Adele Road, Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Fadeyi Bus Stop,https://www.google.com/maps/place/Fadeyi+Bus+Stop/data=!4m7!3m6!1s0x103b8db24e2eafbb:0xf76387cd0fbf79d6!8m2!3d6.5278119!4d3.3670548!16s%2Fg%2F1hhwm2v_y!19sChIJu68uTrKNOxAR1nm_D82HY_c,Bus stop,"Mushin 102215, Lagos, Nigeria",Lagos Mainland
Market Bus Stop,https://www.google.com/maps/place/Market+Bus+Stop/data=!4m7!3m6!1s0x103b8da8fd055c13:0x27054bd910e5d9f4!8m2!3d6.5325153!4d3.376177!16s%2Fg%2F11g_m_455!19sChIJE1wF_aiNOxAR9NnlENlLBSc,Bus stop,"Somolu 102216, Lagos, Nigeria",Lagos Mainland
Bashua Bus Stop,https://www.google.com/maps/place/Bashua+Bus+Stop/data=!4m7!3m6!1s0x103b8dac04052bd9:0xadd53c0c9c615565!8m2!3d6.5293681!4d3.3738193!16s%2Fg%2F11h0f0rvl!19sChIJ2SsFBKyNOxARZVVhnAw81a0,Bus stop,"Apata Street, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Apongbon Bus Stop,https://www.google.com/maps/place/Apongbon+Bus+Stop/data=!4m7!3m6!1s0x103b8b0bc86c8af1:0x124fc2669713da5b!8m2!3d6.456397!4d3.382302!16s%2Fg%2F11rp6b2tpz!19sChIJ8YpsyAuLOxARW9oTl2bCTxI,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Morocco Bus Stop,https://www.google.com/maps/place/Morocco+Bus+Stop/data=!4m7!3m6!1s0x103b8dab89392283:0x64c826f499a596f2!8m2!3d6.5279771!4d3.3744255!16s%2Fg%2F11g_x96kf!19sChIJgyI5iauNOxAR8palmfQmyGQ,Bus stop,"Bajulaye Rd, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Fadeyi,https://www.google.com/maps/place/Fadeyi/data=!4m7!3m6!1s0x103b8db2cf37be6b:0x6ab0f0205743b726!8m2!3d6.5247261!4d3.3676201!16s%2Fg%2F1tk04kkr!19sChIJa743z7KNOxARJrdDVyDwsGo,Bus stop,"Ikorodu-Ososun Rd, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Onipan Aladiye Bus Stop,https://www.google.com/maps/place/Onipan+Aladiye+Bus+Stop/data=!4m7!3m6!1s0x103b8dbaec728dd7:0xc90f307a4963c265!8m2!3d6.536683!4d3.3675134!16s%2Fg%2F11g_4xjl6!19sChIJ141y7LqNOxARZcJjSXowD8k,Bus stop,"Onipanu 102216, Lagos, Nigeria",Lagos Mainland
Oshodi Bus stop,https://www.google.com/maps/place/Oshodi+Bus+stop/data=!4m7!3m6!1s0x103b8b17c802e403:0x6889191b6c010459!8m2!3d6.4517655!4d3.3981228!16s%2Fg%2F1ptz6npmh!19sChIJA-QCyBeLOxARWQQBbBsZiWg,Bus stop,"Bamgbose St, Lagos Island 102273, Lagos, Nigeria",Lagos Mainland
Chemist Bus Stop,https://www.google.com/maps/place/Chemist+Bus+Stop/data=!4m7!3m6!1s0x103b8d00c803b307:0xd2241eb29efba9e4!8m2!3d6.529059!4d3.3804765!16s%2Fg%2F11g_90131!19sChIJB7MDyACNOxAR5Kn7nrIeJNI,Bus stop,"Opere St, Somolu 102216, Lagos, Nigeria",Lagos Mainland
Ogunlana Bus Stop,https://www.google.com/maps/place/Ogunlana+Bus+Stop/data=!4m7!3m6!1s0x103b8c3a3bfbbd39:0x9090bf355968a10!8m2!3d6.512278!4d3.353086!16s%2Fg%2F1hhv_cyn1!19sChIJOb37OzqMOxAREIqWVfMLCQk,Bus stop,"Itire St, Surulere 101241, Lagos, Nigeria",Lagos Mainland
