title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Olowu,https://www.google.com/maps/place/Olowu/data=!4m7!3m6!1s0x103b9228a7aa91ef:0xbbb4cbc24e02984a!8m2!3d6.599552!4d3.343338!16s%2Fg%2F1hhx81rhf!19sChIJ75GqpyiSOxARSpgCTsLLtLs,Bus stop,"Obafemi Awolowo Way, Ikeja 101233, Lagos, Nigeria",Ikeja,4575,74805,17425,22072,24933
BRT Bus Station,https://www.google.com/maps/place/BRT+Bus+Station/data=!4m7!3m6!1s0x103b92211a6a73ed:0xcccac96f44aabadf!8m2!3d6.5926299!4d3.3416127!16s%2Fg%2F119wt57dq!19sChIJ7XNqGiGSOxAR37qqRG_Jysw,Bus station,"Mobolaji Bank Anthony Way, Ikeja 101233, Lagos, Nigeria",Ikeja,3793,70305,12926,22025,22806
Airport Hotel Bus Stop,https://www.google.com/maps/place/Airport+Hotel+Bus+Stop/data=!4m7!3m6!1s0x103b922dc67d175b:0x5fe1d51e209de906!8m2!3d6.605568!4d3.347228!16s%2Fg%2F11j0j2zv_x!19sChIJWxd9xi2SOxARBumdIB7V4V8,Bus station,"Ikeja 101233, Ikeja, Lagos, Nigeria",Ikeja,565,73860,12268,23394,26255
Ajayi Farm Bus Stop,https://www.google.com/maps/place/Ajayi+Farm+Bus+Stop/data=!4m7!3m6!1s0x103b9185e337c601:0xaa4a73c300417abc!8m2!3d6.600121!4d3.333709!16s%2Fg%2F1hhxf4sx0!19sChIJAcY344WROxARvHpBAMNzSqo,Bus stop,"Lagos-Abeokuta Expy, Ikeja 101233, Lagos, Nigeria",Ikeja,9244,69037,11658,28110,24596
Agidingbi,https://www.google.com/maps/place/Agidingbi/data=!4m7!3m6!1s0x103b93c405af133d:0x2f50e482721a4bca!8m2!3d6.625353!4d3.353499!16s%2Fg%2F1hhxk1k11!19sChIJPROvBcSTOxARyksacoLkUC8,Bus station,"Agidingbi 101233, Lagos, Nigeria",Ikeja,3693,76571,19192,22921,25782
Second Gate Bus Stop,https://www.google.com/maps/place/Second+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b91603e249e87:0x562a006ca390259f!8m2!3d6.62982!4d3.33801!16s%2Fg%2F1hhwy6n9f!19sChIJh54kPmCROxARnyWQo2wAKlY,Bus stop,"Agege 101232, Lagos, Nigeria",Ikeja,11395,68381,21506,32484,35345
7/8 Bus Stop,https://www.google.com/maps/place/7%2F8+Bus+Stop/data=!4m7!3m6!1s0x103b8e0c2fa76679:0x3cfe5df68a5cc579!8m2!3d6.5508274!4d3.3318615!16s%2Fg%2F1tjj8ft0!19sChIJeWanLwyOOxARecVcivZd_jw,Bus stop,"Murtala Muhammed Airport Road, Mushin 102214, Lagos, Nigeria",Ikeja,13159,65811,5215,28089,24575
Stop Over,https://www.google.com/maps/place/Stop+Over/data=!4m7!3m6!1s0x103b8e111c1b556b:0x5b664f35bc5ec3b8!8m2!3d6.553745!4d3.325376!16s%2Fg%2F11j0j2rwg5!19sChIJa1UbHBGOOxARuMNevDVPZls,Bus station,"Ajao Estate 102214, Ikeja, Lagos, Nigeria",Ikeja,12163,64815,3712,27093,23579
Central Bus Stop,https://www.google.com/maps/place/Central+Bus+Stop/data=!4m7!3m6!1s0x103b917c5d2dcc7b:0xd83e63d0540e1e92!8m2!3d6.6172965!4d3.3352411!16s%2Fg%2F11g_d_q96!19sChIJe8wtXXyROxARkh4OVNBjPtg,Bus stop,"Oba Akran Ave, Agege 102212, Lagos, Nigeria",Ikeja,3675,74751,12986,26470,27252
Base Bus Stop,https://www.google.com/maps/place/Base+Bus+Stop/data=!4m7!3m6!1s0x103b91f97f2db555:0xf82f4668128db7e6!8m2!3d6.5751608!4d3.3341548!16s%2Fg%2F1hhwm2_hc!19sChIJVbUtf_mROxAR5reNEmhGL_g,Bus stop,"Shogunle 102214, Ikeja, Lagos, Nigeria",Ikeja,5918,68216,10836,24970,23774
