title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Doyin,https://www.google.com/maps/place/Doyin/data=!4m7!3m6!1s0x103b86afc8fc16db:0xd3dc80e53a7191d8!8m2!3d6.473524!4d3.185984!16s%2Fg%2F11b6b4zy71!19sChIJ2xb8yK-GOxAR2JFxOuWA3NM,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Barracks Bus Stop,https://www.google.com/maps/place/Barracks+Bus+Stop/data=!4m7!3m6!1s0x103b864297e64e3b:0xefd70a38325ad740!8m2!3d6.460038!4d3.229433!16s%2Fg%2F1hhw9nnsg!19sChIJO07ml0KGOxARQNdaMjgK1-8,Bus stop,"Amuwo Odofin 102113, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Ajangbadi,https://www.google.com/maps/place/Ajangbadi/data=!4m7!3m6!1s0x103b8147f015b8cf:0x49f536213636772f!8m2!3d6.4624536!4d3.167226!16s%2Fg%2F1v9gxgs4!19sChIJz7gV8EeBOxARL3c2NiE29Uk,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
"Iba Last Bus Stop, Garage","https://www.google.com/maps/place/Iba+Last+Bus+Stop,+Garage/data=!4m7!3m6!1s0x103b844319c9e391:0x4c5c167526f489e8!8m2!3d6.5073403!4d3.2007395!16s%2Fg%2F1yghb7p3y!19sChIJkePJGUOEOxAR6In0JnUWXEw",Parking garage,"G642+W7Q, Ojo 102101, Lagos, Nigeria",Ojo,28474,42207,16455,49038,32414
Onireke Bus Stop,https://www.google.com/maps/place/Onireke+Bus+Stop/data=!4m7!3m6!1s0x103b864258eae607:0x78e73b5fd1a8dfe2!8m2!3d6.4597051!4d3.2307959!16s%2Fg%2F1q5ccbvvx!19sChIJB-bqWEKGOxAR4t-o0V8753g,Bus stop,"Omila Onireke St, Amuwo Odofin 102113, Lagos, Nigeria",Ojo,32326,45818,21498,47256,24716
IyanaOba,https://www.google.com/maps/place/IyanaOba/data=!4m7!3m6!1s0x103b86ecc2b5bd4f:0x5c3225aabe04f6d0!8m2!3d6.460369!4d3.204947!16s%2Fg%2F1hhw1ft5w!19sChIJT721wuyGOxAR0PYEvqolMlw,Bus stop,"Ojo 102113, Alasia, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
G.U.O. Transport - Alaba Intn'l Terminal,https://www.google.com/maps/place/G.U.O.+Transport+-+Alaba+Intn%27l+Terminal/data=!4m7!3m6!1s0x103b86c70e3c8eaf:0xb82c725dfec0e5a0!8m2!3d6.459945!4d3.1910992!16s%2Fg%2F1ydp79gmn!19sChIJr448DseGOxARoOXA_l1yLLg,Bus station,"Olojo Road, Ojo 102113, Lagos, Nigeria",Ojo,34515,41197,22204,49445,26860
Sowemimo,https://www.google.com/maps/place/Sowemimo/data=!4m7!3m6!1s0x103b86c96048b3b5:0x6eb92b9a466010ce!8m2!3d6.457895!4d3.183084!16s%2Fg%2F11h84r24h0!19sChIJtbNIYMmGOxARzhBgRporuW4,Bus station,"Ojo 102111, Alasia, Lagos, Nigeria",Ojo,38750,44259,25267,53680,31095
Cele-Nica,https://www.google.com/maps/place/Cele-Nica/data=!4m7!3m6!1s0x103b83e3195f36a7:0x356ebe0f0db81b2b!8m2!3d6.48621!4d3.166363!16s%2Fg%2F11j0j2s004!19sChIJpzZfGeODOxARKxu4DQ--bjU,Bus station,"Ojo 102101, Alasia, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Ojolowo,https://www.google.com/maps/place/Ojolowo/data=!4m7!3m6!1s0x103b8216c9654171:0xee91e39e31856d97!8m2!3d6.497909!4d3.11309!16s%2Fg%2F11fp8kylgy!19sChIJcUFlyRaCOxARl22FMZ7jke4,Bus station,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Alabarago,https://www.google.com/maps/place/Alabarago/data=!4m7!3m6!1s0x103b86bc21038c4d:0xcfed3969c0ad7f67!8m2!3d6.467194!4d3.194468!16s%2Fg%2F11b6b8z5d7!19sChIJTYwDIbyGOxARZ3-twGk57c8,Bus stop,"Ojo 102101, Alasia, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Post Service,https://www.google.com/maps/place/Post+Service/data=!4m7!3m6!1s0x103b869a1da22a0d:0xaffc1116f587cf59!8m2!3d6.473129!4d3.203163!16s%2Fg%2F11fp8l5z2p!19sChIJDSqiHZqGOxARWc-H9RYR_K8,Bus station,"Ojo 102113, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Agric,https://www.google.com/maps/place/Agric/data=!4m7!3m6!1s0x103b865fb056c037:0xc8b509bcf5c2944e!8m2!3d6.459681!4d3.220164!16s%2Fg%2F11b6b5kwtb!19sChIJN8BWsF-GOxARTpTC9bwJtcg,Bus stop,"Volkswagen 102113, Lagos, Nigeria",Ojo,33930,44364,23102,48860,26320
Obadore Bus Stop,https://www.google.com/maps/place/Obadore+Bus+Stop/data=!4m7!3m6!1s0x103b84ff224b50ad:0xafbcb1a835e71db3!8m2!3d6.52768!4d3.2142246!16s%2Fg%2F11n38v7_jq!19sChIJrVBLIv-EOxARsx3nNaixvK8,Bus stop,"Lasu-Isheri Rd, Ijegun 102213, Lagos, Nigeria",Ojo,21275,48774,9256,41840,35840
Ojo Road Bus Stop,https://www.google.com/maps/place/Ojo+Road+Bus+Stop/data=!4m7!3m6!1s0x103b8960112c96b5:0xe5cd451a4e15e050!8m2!3d6.4597795!4d3.3380815!16s%2Fg%2F1hhvm80v_!19sChIJtZYsEWCJOxARUOAVThpFzeU,Bus stop,"Ojo Rd, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ojo,23035,58254,19731,37963,14935
