title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Under Bridge Bus Stop,https://www.google.com/maps/place/Under+Bridge+Bus+Stop/data=!4m7!3m6!1s0x103b82113c04421d:0x5d266d0a9303e35b!8m2!3d6.4977705!4d3.1117755!16s%2Fg%2F1ptz2p3ll!19sChIJHUIEPBGCOxARW-MDkwptJl0,Bus stop,"Lagos - Badagry Expy, Ojo 102101, Lagos, Nigeria",Ojo,39972,38142,26505,54901,32316
Ipaye Bus Stop,https://www.google.com/maps/place/Ipaye+Bus+Stop/data=!4m7!3m6!1s0x103b8422c743dc13:0x3e04988f2d5434a7!8m2!3d6.492678!4d3.199186!16s%2Fg%2F1hhwktwgf!19sChIJE9xDxyKEOxARpzRULY-YBD4,Bus stop,"Ojo 102101, Alasia, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Iyana School Bus Stop,https://www.google.com/maps/place/Iyana+School+Bus+Stop/data=!4m7!3m6!1s0x103b843e0e41c07f:0x524351c016575cb7!8m2!3d6.4994879!4d3.1989111!16s%2Fg%2F1hhwmnwnz!19sChIJf8BBDj6EOxARt1xXFsBRQ1I,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Iyana Iba Bus Stop,https://www.google.com/maps/place/Iyana+Iba+Bus+Stop/data=!4m7!3m6!1s0x103b86ecb82c3abb:0x28fa226425a6015d!8m2!3d6.4609018!4d3.2042742!16s%2Fg%2F1tdjdz1s!19sChIJuzosuOyGOxARXQGmJWQi-ig,Bus stop,"Iba Town Rd, Ojo 102113, Lagos, Nigeria",Ojo,31477,42495,19457,51612,29027
LASU PRESS BUS STOP,https://www.google.com/maps/place/LASU+PRESS+BUS+STOP/data=!4m7!3m6!1s0x103b86943191d377:0x5b9a0045f151cac8!8m2!3d6.4661895!4d3.2009187!16s%2Fg%2F1pt_bzt3h!19sChIJd9ORMZSGOxARyMpR8UUAmls,Bus stop,"Lasu Main Rd, Ojo 102101, Lagos, Nigeria",Ojo,32556,40227,20536,51988,29403
Police Bus Stop,https://www.google.com/maps/place/Police+Bus+Stop/data=!4m7!3m6!1s0x103b81fe8f1df589:0x2f480de04fa9f8a5!8m2!3d6.4606788!4d3.1426872!16s%2Fg%2F11fcm5gnw0!19sChIJifUdj_6BOxARpfipT-ANSC8,Bus charter,"F46V+73F, Shibiri Rd, Ojo 102104, Lagos, Nigeria",Ojo,41442,45571,27969,56372,33787
Moot Court Bus Stop,https://www.google.com/maps/place/Moot+Court+Bus+Stop/data=!4m7!3m6!1s0x103b86968f5da083:0x349cf04d34a125d6!8m2!3d6.4676646!4d3.2009509!16s%2Fg%2F1ptzmnn4t!19sChIJg6Bdj5aGOxAR1iWhNE3wnDQ,Bus stop,"Lasu Main Rd, Ojo 102101, Lagos, Nigeria",Ojo,32556,40227,20536,51988,29403
Village Bus Stop,https://www.google.com/maps/place/Village+Bus+Stop/data=!4m7!3m6!1s0x103b8420474d5247:0x58e28527a1c76bd1!8m2!3d6.4846105!4d3.1993496!16s%2Fg%2F11c46hf6jx!19sChIJR1JNRyCEOxAR0WvHoSeF4lg,Bus charter,"F5MX+RPX, Iyana Iba Rd - Iba Rd, Ojo 102101, Lagos, Nigeria",Ojo,30305,41323,20671,52804,30219
Agric Bus Stop,https://www.google.com/maps/place/Agric+Bus+Stop/data=!4m7!3m6!1s0x103b865fb5aa5845:0x6ee0794e31a492ff!8m2!3d6.459862!4d3.220469!16s%2Fg%2F1hhxm5vgd!19sChIJRViqtV-GOxAR_5KkMU554G4,Bus stop,"Lagos - Badagry Expy, Ojo 102113, Lagos, Nigeria",Ojo,35671,40954,21758,50601,28016
Volks Bus Stop,https://www.google.com/maps/place/Volks+Bus+Stop/data=!4m7!3m6!1s0x103b86f36c73e4e1:0x1b8a0e2068cb014f!8m2!3d6.459673!4d3.212061!16s%2Fg%2F1hhwwfxhz!19sChIJ4eRzbPOGOxARTwHLaCAOihs,Bus stop,"Lagos - Badagry Expy, Ojo 102113, Lagos, Nigeria",Ojo,35671,40954,21758,50601,28016
