title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Okunola Bus Stop,https://www.google.com/maps/place/Okunola+Bus+Stop/data=!4m7!3m6!1s0x103b904f823a8dab:0x4da5853d0bbe713a!8m2!3d6.597152!4d3.2891504!16s%2Fg%2F1hhvsbvsj!19sChIJq406gk-QOxAROnG-Cz2FpU0,Bus stop,"Okunola Rd, Egbeda 102213, Lagos, Nigeria",Alimosho,13233,58438,12010,33797,33631
Eden Chapel,https://www.google.com/maps/place/Eden+Chapel/data=!4m7!3m6!1s0x103b854469a060c9:0x7407fb073b21b52d!8m2!3d6.5666874!4d3.25176!16s%2Fg%2F11g_fl1cy!19sChIJyWCgaUSFOxARLbUhOwf7B3Q,Bus stop,"Igando Road, Ikotun 102213, Lagos, Nigeria",Alimosho,22266,51470,7233,37331,33817
Alaguntan Bus Stop,https://www.google.com/maps/place/Alaguntan+Bus+Stop/data=!4m7!3m6!1s0x103b91aa60fd1661:0x2e277d5419e4f8c7!8m2!3d6.6089972!4d3.3013183!16s%2Fg%2F1tvtw00x!19sChIJYRb9YKqROxARx_jkGVR9Jy4,Bus stop,"Kwara St, Alimosho 102213, Lagos, Nigeria",Alimosho,11217,59854,10211,31782,31616
Legba Bus Stop,https://www.google.com/maps/place/Legba+Bus+Stop/data=!4m7!3m6!1s0x103b8f859ca85835:0xee6afd210d2bbf85!8m2!3d6.5350777!4d3.2656015!16s%2Fg%2F1tx1kgbj!19sChIJNVionIWPOxARhb8rDSH9au4,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
ISHERI IJEGUN LAGOS STATE ALIMOSHO LGA,https://www.google.com/maps/place/ISHERI+IJEGUN+LAGOS+STATE+ALIMOSHO+LGA/data=!4m7!3m6!1s0x103b8fa77b5cde81:0x1d114cae7a4aeb49!8m2!3d6.5143335!4d3.2649068!16s%2Fg%2F11my4lg722!19sChIJgd5ce6ePOxARSetKeq5MER0,Transportation service,"ISHERI, Ijegun - Ikotun Rd, Nigeria",Alimosho,20587,54219,7359,37457,33943
Alimosho,https://www.google.com/maps/place/Alimosho/data=!4m7!3m6!1s0x103b90ff743cbe6f:0x55b282af842bd95f!8m2!3d6.611253!4d3.295874!16s%2Fg%2F11r6ybt_qn!19sChIJb748dP-QOxARX9krhK-CslU,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b90df73c4b1ad:0x9469927473e196be!8m2!3d6.634641!4d3.2976258!16s%2Fg%2F1tf91v64!19sChIJrbHEc9-QOxARvpbhc3SSaZQ,Bus stop,"Aderupoko Street, Alimosho 102213, Lagos, Nigeria",Alimosho,12965,63175,18422,33529,33364
Olowo Ila Bus Stop,https://www.google.com/maps/place/Olowo+Ila+Bus+Stop/data=!4m7!3m6!1s0x103b85156c2c9b35:0x852cfc3e8bdfac3b!8m2!3d6.5455989!4d3.2365304!16s%2Fg%2F1hhx1vmnz!19sChIJNZssbBWFOxARO6zfiz78LIU,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Church Bus Stop,https://www.google.com/maps/place/Church+Bus+Stop/data=!4m7!3m6!1s0x103b9a808b14e9f1:0x52004e57bfb5b877!8m2!3d6.6091595!4d3.2556009!16s%2Fg%2F1thjqy3n!19sChIJ8ekUi4CaOxARd7i1v1dOAFI,Bus stop,"Ipaja Road, Alimosho 102213, Lagos, Nigeria",Alimosho,15175,63527,17099,35739,35574
Orelope Bus Stop,https://www.google.com/maps/place/Orelope+Bus+Stop/data=!4m7!3m6!1s0x103b904612192cb9:0xd5c12915798f25cf!8m2!3d6.593509!4d3.287663!16s%2Fg%2F1hhvqsxz_!19sChIJuSwZEkaQOxARzyWPeRUpwdU,Bus stop,"Primatek Plaza, Egbeda, Idimu Rd, Idimu 102213, Lagos, Nigeria",Alimosho,12184,60630,14202,32748,32583
