title,placeUrl,category,address,LGA
Ijora Olopa Bus Stop,https://www.google.com/maps/place/Ijora+Olopa+Bus+Stop/data=!4m7!3m6!1s0x103b8b9d22f7a067:0x590aa829133ddb24!8m2!3d6.4699449!4d3.3771673!16s%2Fg%2F11pw500kqs!19sChIJZ6D3Ip2LOxARJNs9EymoClk,Bus stop,"Ijora Olopa 101245, Ikeja, Lagos, Nigeria",Apapa
Oando Terminal Apapa 1,https://www.google.com/maps/place/Oando+Terminal+Apapa+1/data=!4m7!3m6!1s0x103b8bbfe82013e7:0xba84286417265802!8m2!3d6.459873!4d3.360301!16s%2Fg%2F12vqlzkql!19sChIJ5xMg6L-LOxARAlgmF2QohLo,Bus station,"Kayode Rd, Apapa 102272, Lagos, Nigeria",Apapa
Iyana Ajegunle Bus Stop,https://www.google.com/maps/place/Iyana+Ajegunle+Bus+Stop/data=!4m7!3m6!1s0x103b8be5fb50bbef:0xfe81184d0f3f46b7!8m2!3d6.4663839!4d3.3484163!16s%2Fg%2F11bbrg_t_d!19sChIJ77tQ--WLOxARt0Y_D00Ygf4,Bus stop,"Olumokun St, Malu 102103, Ikeja, Lagos, Nigeria",Apapa
Ago Hausa Bus Stop,https://www.google.com/maps/place/Ago+Hausa+Bus+Stop/data=!4m7!3m6!1s0x103b8bdea7faff47:0x3b99c5be33e807af!8m2!3d6.456387!4d3.3434272!16s%2Fg%2F1hhw6gr5g!19sChIJR__6p96LOxARrwfoM77FmTs,Bus stop,"Baale Street, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Baale Bus Stop,https://www.google.com/maps/place/Baale+Bus+Stop/data=!4m7!3m6!1s0x103b8bf06017f335:0x65fbd36eb4e66a9a!8m2!3d6.4739516!4d3.3501528!16s%2Fg%2F12hysz933!19sChIJNfMXYPCLOxARmmrmtG7T-2U,Bus stop,"Moshalashi St, Amukoko 102272, Lagos, Nigeria",Apapa
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8be5dd8cf119:0xd7c34bb0fbce0fd3!8m2!3d6.4664533!4d3.3476812!16s%2Fg%2F12hpr2z3z!19sChIJGfGM3eWLOxAR0w_O-7BLw9c,Bus stop,"Cementry Rd, Malu 102103, Lagos, Nigeria",Apapa
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b8bdf999b1e3d:0xc5d3e283fb2eee27!8m2!3d6.4586284!4d3.3398813!16s%2Fg%2F1tfn5c4j!19sChIJPR6bmd-LOxARJ-4u-4Pi08U,Bus stop,"Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Akere Bus Stop,https://www.google.com/maps/place/Akere+Bus+Stop/data=!4m7!3m6!1s0x103b8bd7833da0ad:0x9b6f48ee2d154545!8m2!3d6.4495214!4d3.3412036!16s%2Fg%2F1ptxln7x8!19sChIJraA9g9eLOxARRUUVLe5Ib5s,Bus stop,"Kirikiri Rd, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Okoya Bus Stop,https://www.google.com/maps/place/Okoya+Bus+Stop/data=!4m7!3m6!1s0x103b8bde4a152f87:0x55f50885ed5b6e67!8m2!3d6.4594386!4d3.3422711!16s%2Fg%2F1hhxssp9g!19sChIJhy8VSt6LOxARZ25b7YUI9VU,Bus stop,"Ojo Rd, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Warehouse,https://www.google.com/maps/place/Warehouse/data=!4m7!3m6!1s0x103b8bacdcbd11f9:0x5946b822f65096f3!8m2!3d6.4403149!4d3.3722018!16s%2Fg%2F11r6y6zzkw!19sChIJ-RG93KyLOxAR85ZQ9iK4Rlk,Bus stop,"Apapa Quays 102272, Ikeja, Lagos, Nigeria",Apapa
