title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Eric Moore Bus Stop,https://www.google.com/maps/place/Eric+Moore+Bus+Stop/data=!4m7!3m6!1s0x103b8c0ef4614063:0xae6105bb0a84165!8m2!3d6.4896849!4d3.3525824!16s%2Fg%2F11bw40lyrn!19sChIJY0Bh9A6MOxARZUGosFsQ5go,Bus stop,"Bode Thomas St, Surulere 101241, Ikeja, Lagos, Nigeria",Surulere,15710,58825,12045,30638,9772
Ishaga Bus Stop,https://www.google.com/maps/place/Ishaga+Bus+Stop/data=!4m7!3m6!1s0x103b8c3879cde735:0xe34c83be017b9322!8m2!3d6.51182!4d3.3588687!16s%2Fg%2F1hhx5wp81!19sChIJNefNeTiMOxARIpN7Ab6DTOM,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Baba Ijebu Bus Stop,https://www.google.com/maps/place/Baba+Ijebu+Bus+Stop/data=!4m7!3m6!1s0x103b8c4169de343f:0xa55b1f614387e213!8m2!3d6.5070075!4d3.3633671!16s%2Fg%2F1hhx5lf6g!19sChIJPzTeaUGMOxARE-KHQ2EfW6U,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Teslim Balogun Bus Stop,https://www.google.com/maps/place/Teslim+Balogun+Bus+Stop/data=!4m7!3m6!1s0x103b8c6b60370891:0xf11d54ad6d9a8dc3!8m2!3d6.498084!4d3.36042!16s%2Fg%2F1hhvyxfc5!19sChIJkQg3YGuMOxARw42aba1UHfE,Bus stop,"Alh. Masha Rd, Surulere 101241, Lagos, Nigeria",Surulere,15528,60287,10759,30455,11919
Ogosco Bus Stop 2,"https://www.google.com/maps/place/Ogosco+Bus+Stop+2/@6.5137791,3.3559367,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c186dd23695:0x5dec314a268c9728!8m2!3d6.5137791!4d3.3559367!16s%2Fg%2F1thn7jml",Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Baracks brt bus stop to stadium,https://www.google.com/maps/place/Baracks+brt+bus+stop+to+stadium/data=!4m7!3m6!1s0x103b8d316b411acd:0x948b8405a199bb13!8m2!3d6.5055386!4d3.3638382!16s%2Fg%2F11h_g06s6m!19sChIJzRpBazGNOxARE7uZoQWEi5Q,Transportation service,"G947+6G8, Unnamed Road, Surulere 101241, Lagos, Nigeria",Surulere,14331,61801,12273,29258,10843
Agunlejika Bus Stop,https://www.google.com/maps/place/Agunlejika+Bus+Stop/data=!4m7!3m6!1s0x103b8ebe386a2ec7:0x772ea85e18a583b4!8m2!3d6.5022929!4d3.3253437!16s%2Fg%2F1hhhf4p14!19sChIJxy5qOL6OOxARtIOlGF6oLnc,Bus stop,"2 Ogbomosho St, Surulere 101283, Lagos, Nigeria",Surulere,16707,59534,5623,31636,14446
Underbridge Busstop Kilo,https://www.google.com/maps/place/Underbridge+Busstop+Kilo/data=!4m7!3m6!1s0x103b8c18060b29d3:0xf038c34d71cbe5ac!8m2!3d6.5029671!4d3.3484107!16s%2Fg%2F1tzfv7t5!19sChIJ0ykLBhiMOxARrOXLcU3DOPA,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Iyana Fadeyi Bus Stop,https://www.google.com/maps/place/Iyana+Fadeyi+Bus+Stop/data=!4m7!3m6!1s0x103b8c525b2f7139:0xa84654ca5c3d53b7!8m2!3d6.5211445!4d3.3708286!16s%2Fg%2F11h0c4cvl!19sChIJOXEvW1KMOxARt1M9XMpURqg,Bus stop,"Alakija St, Surulere 101245, Lagos, Nigeria",Surulere,11409,64101,9253,26336,13773
Stadium Brt,https://www.google.com/maps/place/Stadium+Brt/data=!4m7!3m6!1s0x103b8c6b83502659:0xe7761246bd6a5c98!8m2!3d6.4986025!4d3.3618661!16s%2Fg%2F1vfvcp0p!19sChIJWSZQg2uMOxARmFxqvUYSduc,Bus stop,"Western Ave, Surulere 101241, Lagos, Nigeria",Surulere,14397,60924,11396,29324,10787
